price
1172000
595000
414000
629000
666000
719000
469000
650000
399000
749000
1100000
540000
1790000
859000
549000
950000
775000
269000
550000
1186960
630000
579000
470000
384000
522000
209000
425000
898000
550000
910000
715000
560000
687000
979000
475000
480000
451290
699000
699000
946000
469000
850000
1529000
2100000
1450000
999000
1250000
619000
675586
729000
799000
1130000
547000
429000
460000
450000
1350000
795000
650000
750000
650000
276000
575000
799000
1400000
460000
625000
515000
369000
1250000
669000
239000
685000
330000
715000
586000
697500
339000
259000
390000
967000
230000
670000
700000
1560000
2150000
1505000
300005
440000
598000
578500
269500
330000
395000
1120000
570000
560000
470000
1040000
850000
899000
1299999
267000
499000
329000
1200000
434400
780000
1500000
787000
393000
549900
1098020
850000
940000
630000
489000
199000
595000
710000
630000
630000
549000
995000
850000
596491
539000
370000
479000
700000
545000
460000
555000
1640000
572000
325000
720999
555000
572733
799000
705000
780000
1053000
930000
798000
662000
799000
910000
499990
1990000
979000
280000
1050000
329000
520000
975000
1575000
1200000
1499000
1180000
360000
442000
924000
479900
389000
280000
560000
445000
388000
395000
399000
1100000
504174
2199000
1350000
660000
799900
650000
620000
799000
2050000
699000
1087500
780000
410000
449000
779000
570000
816100
449000
1249000
569900
699000
550000
1400000
750000
639000
237000
599000
2300000
650000
690000
420000
836000
330000
650000
1500000
315000
900000
290000
989450
318000
460000
998000
699000
799000
590000
337900
1600000
306000
829000
1060875
470000
485000
639000
1190000
425000
770000
179000
818000
1334000
749000
267000
429000
830000
569250
873000
750000
499000
450000
279000
1790000
265000
690000
1600000
998000
680000
599000
775000
676000
528000
476000
899000
650000
620000
299000
330000
260000
1200000
1406000
450000
990000
435000
650000
858000
1370000
209000
665000
370000
518000
280000
998000
1190000
699000
780000
969000
1150000
950000
475000
1050000
555000
791460
289000
1099000
752000
857000
520000
525000
950000
679000
253000
670000
374000
680000
1100000
529000
599000
259000
549000
729000
679000
285000
599000
630000
759000
370000
639000
539000
940000
799000
769000
620000
920000
309000
748000
289000
445000
289000
375000
550000
463000
275000
880000
1530870
730000
1499980
610000
765000
320000
519000
799000
450000
760000
480000
677000
415000
670000
422000
235000
599000
1449000
935000
650000
1095000
1850000
559000
